state,elec_price_high,elec_price_low,ng_price,r,t,ngboiler_om_best,ngboiler_om_worst,eboiler_om_best,eboiler_om_worst,hthp_om_best,hthp_om_worst
AK,0.4375,0.09807156631669167,6.35,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
AL,0.1442473651353237,0.04547897687740462,4.53,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
AR,0.15444888065022103,0.04769750409488682,7.58,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
AZ,0.12875235137145108,0.01906487493079672,5.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
CA,0.2983672065239855,0.024446929048771205,11.38,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
CO,0.1809048948658043,0.026099916537498512,7.59,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
CT,0.2978608663095444,0.06270202334273764,6.8,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
DE,0.12153055643513055,0.009086816606479742,13.71,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
FL,0.20614469772051536,0.054905326674989596,4.67,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
GA,0.19351850093976042,0.03357754325100804,4.77,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
HI,0.3966619564045377,0.3383724541290339,28.35,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
IA,0.13513513513513514,0.06260875305340656,5.65,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
ID,0.15,0.04652602171054769,5.08,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
IL,0.16665214739959927,0.007503090830269264,6.54,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
IN,0.13234885775590055,0.037258739531326454,4.91,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
KS,0.16839237057220707,0.0025943396226415097,5.56,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
KY,0.11248947516138087,0.04216651102650672,3.54,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
LA,0.2006108735491753,0.05458819761163385,3.38,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
MA,0.3464285714285714,0.06933764575992614,13.2,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
MD,0.1688235294117647,0.017383981458857688,11.89,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
ME,0.22621011021230922,0.017017629774730657,8.66,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
MI,0.13911596958174904,0.004650797497554101,7.57,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
MN,0.2803030303030303,0.05449125448082097,6.18,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
MO,0.16332039817783026,0.06309747129886696,7.98,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
MS,0.2074468085106383,0.043104811089542665,4.43,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
MT,0.23825503355704697,0.0054075052496567995,6.25,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
NC,0.13390370075606844,0.04430027851679415,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
ND,0.19201485608170846,0.01220173535791757,2.21,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
NE,0.168,0.007122940430925222,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
NH,0.26895195376520314,0.041796776856537814,9.28,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
NJ,0.1875,0.026259099995983626,7.96,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
NM,0.2847157502329916,0.02624450154609991,5.05,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
NV,0.17692307692307693,0.0026943089693418497,10.69,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
NY,0.21926768340783592,0.01702041701088733,10.77,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
OH,0.14938823279072241,0.005306205828131171,7.73,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
OK,0.14555256064690028,0.05079591791515285,3.03,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
OR,0.1039036486007793,0.007315571913752863,7.98,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
PA,0.160832106377105,0.004273484930760795,9.38,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
RI,0.2800162013285089,0.03559055118110236,12.76,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
SC,0.12998007834057962,0.014831090359791266,4.92,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
SD,0.17432476407419462,0.01455108359133127,4.82,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
TN,0.3,0.04157123224919835,5.51,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
TX,0.4040667361835245,0.023190442726633873,2.36,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
UT,0.2608695652173913,0.04171195652173913,7.75,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
VA,0.16877543008066243,0.0012732823531138543,4.34,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
VT,0.24684684684684685,0.10588327559530841,4.52,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
WA,0.11536482674453023,0.00791255345797935,12.3,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
WI,0.17752126366950183,0.05309193998202227,5.76,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
WV,0.09302325581395349,0.06681087304288716,3.93,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
WY,0.13135421930267813,0.0031559114460668865,4.14,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
